node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,38.841292,-7.000289,TK0003,TCU,radio,1,1,1
TCU_SUNNER_ID_002,38.841294,-7.000392,TK0019,TCU,radio,1,1,2
TCU_SUNNER_ID_003,38.841295,-7.000496,TK0020,TCU,radio,1,1,3
TCU_SUNNER_ID_004,38.841297,-7.000599,TK0021,TCU,radio,1,1,4
TCU_SUNNER_ID_005,38.841299,-7.000703,TK0022,TCU,radio,1,1,5
TCU_SUNNER_ID_006,38.841301,-7.000807,TK0023,TCU,radio,1,1,6
TCU_SUNNER_ID_007,38.841303,-7.00091,TK0024,TCU,radio,1,1,7
TCU_SUNNER_ID_008,38.841304,-7.001014,TK0025,TCU,radio,1,1,8
TCU_SUNNER_ID_009,38.841306,-7.001118,TK0026,TCU,radio,1,1,9
TCU_SUNNER_ID_010,38.841308,-7.001221,TK0027,TCU,radio,1,1,10
TCU_SUNNER_ID_011,38.84131,-7.001325,TK0028,TCU,radio,1,1,11
TCU_SUNNER_ID_012,38.840997,-7.000193,TK0029,TCU,radio,1,1,12
TCU_SUNNER_ID_013,38.840995,-7.000089,TK0030,TCU,radio,1,1,13
TCU_SUNNER_ID_014,38.840993,-6.999986,TK0031,TCU,radio,1,1,14
TCU_SUNNER_ID_015,38.840992,-6.999882,TK0032,TCU,radio,1,1,15
TCU_SUNNER_ID_016,38.84099,-6.999779,TK0033,TCU,radio,1,1,16
TCU_SUNNER_ID_017,38.840986,-6.999571,TK0034,TCU,radio,1,1,17
TCU_SUNNER_ID_018,38.840984,-6.999468,TK0035,TCU,radio,1,1,18
TCU_SUNNER_ID_019,38.840983,-6.999364,TK0036,TCU,radio,1,1,19
TCU_SUNNER_ID_020,38.840981,-6.99926,TK0037,TCU,radio,1,1,20
TCU_SUNNER_ID_021,38.840979,-6.999157,TK0038,TCU,radio,1,1,21
TCU_SUNNER_ID_022,38.840977,-6.999053,TK0039,TCU,radio,1,1,22
TCU_SUNNER_ID_023,38.840976,-6.998949,TK0040,TCU,radio,1,1,23
TCU_SUNNER_ID_024,38.840974,-6.998846,TK0041,TCU,radio,1,1,24
TCU_SUNNER_ID_025,38.840972,-6.998742,TK0042,TCU,radio,1,1,25
TCU_SUNNER_ID_026,38.84097,-6.998638,TK0043,TCU,radio,1,1,26
TCU_SUNNER_ID_027,38.840968,-6.998535,TK0044,TCU,radio,1,1,27
TCU_SUNNER_ID_028,38.840967,-6.998431,TK0045,TCU,radio,1,1,28
TCU_SUNNER_ID_029,38.840965,-6.998328,TK0046,TCU,radio,1,1,29
TCU_SUNNER_ID_030,38.840963,-6.998224,TK0047,TCU,radio,1,1,30
TCU_SUNNER_ID_031,38.840961,-6.99812,TK0048,TCU,radio,1,1,31
TCU_SUNNER_ID_032,38.84096,-6.998017,TK0049,TCU,radio,1,1,32
TCU_SUNNER_ID_033,38.841911,-7.001028,TK0055,TCU,radio,1,1,33
TCU_SUNNER_ID_034,38.841913,-7.001132,TK0056,TCU,radio,1,1,34
TCU_SUNNER_ID_035,38.841833,-7.001341,TK0057,TCU,radio,1,1,35
TCU_SUNNER_ID_036,38.841835,-7.001445,TK0058,TCU,radio,1,1,36
TCU_SUNNER_ID_037,38.841914,-7.001235,TK0059,TCU,radio,1,1,37
TCU_SUNNER_ID_038,38.840988,-6.999675,TK0082,TCU,radio,1,1,38
TCU_SUNNER_ID_039,38.840516,-7.00031,TK0083,TCU,radio,1,1,39
TCU_SUNNER_ID_040,38.840543,-7.000413,TK0084,TCU,radio,1,1,40
TCU_SUNNER_ID_041,38.840544,-7.000517,TK0085,TCU,radio,1,1,41
TCU_SUNNER_ID_042,38.840546,-7.00062,TK0086,TCU,radio,1,1,42
TCU_SUNNER_ID_043,38.840548,-7.000724,TK0087,TCU,radio,1,1,43
TCU_SUNNER_ID_044,38.840512,-7.000829,TK0088,TCU,radio,1,1,44
TCU_SUNNER_ID_045,38.840515,-7.000932,TK0089,TCU,radio,1,1,45
TCU_SUNNER_ID_046,38.840515,-7.001036,TK0090,TCU,radio,1,1,46
TCU_SUNNER_ID_047,38.840517,-7.00114,TK0091,TCU,radio,1,1,47
TCU_SUNNER_ID_048,38.840532,-7.001243,TK0092,TCU,radio,1,1,48
TCU_SUNNER_ID_049,38.840559,-7.001346,TK0093,TCU,radio,1,1,49
TCU_SUNNER_ID_050,38.840201,-7.000215,TK0094,TCU,radio,1,1,50
TCU_SUNNER_ID_051,38.840092,-6.999597,TK0095,TCU,radio,1,1,51
TCU_SUNNER_ID_052,38.84018,-6.999179,TK0096,TCU,radio,1,1,52
TCU_SUNNER_ID_053,38.840181,-6.999075,TK0097,TCU,radio,1,1,53
TCU_SUNNER_ID_054,38.84018,-6.998972,TK0098,TCU,radio,1,1,54
TCU_SUNNER_ID_055,38.840178,-6.998868,TK0099,TCU,radio,1,1,55
TCU_SUNNER_ID_056,38.840176,-6.998764,TK0100,TCU,radio,1,1,56
TCU_SUNNER_ID_057,38.840174,-6.998661,TK0101,TCU,radio,1,1,57
TCU_SUNNER_ID_058,38.840172,-6.998557,TK0102,TCU,radio,1,1,58
TCU_SUNNER_ID_059,38.840171,-6.998454,TK0103,TCU,radio,1,1,59
TCU_SUNNER_ID_060,38.840196,-6.998348,TK0104,TCU,radio,1,1,60
TCU_SUNNER_ID_061,38.840614,-7.001448,TK0105,TCU,radio,1,1,61
TCU_SUNNER_ID_062,38.840659,-7.00155,TK0106,TCU,radio,1,1,62
TCU_SUNNER_ID_063,38.840712,-7.001653,TK0107,TCU,radio,1,1,63
TCU_SUNNER_ID_064,38.840761,-7.001755,TK0108,TCU,radio,1,1,64
TCU_SUNNER_ID_065,38.840782,-7.001858,TK0109,TCU,radio,1,1,65
TCU_SUNNER_ID_066,38.840812,-7.001961,TK0110,TCU,radio,1,1,66
TCU_SUNNER_ID_067,38.840095,-6.999804,TK0111,TCU,radio,1,1,67
TCU_SUNNER_ID_068,38.840199,-7.000112,TK0112,TCU,radio,1,1,68
TCU_SUNNER_ID_069,38.840188,-6.99949,TK0113,TCU,radio,1,1,69
TCU_SUNNER_ID_070,38.840187,-6.999386,TK0114,TCU,radio,1,1,70
TCU_SUNNER_ID_071,38.840185,-6.999283,TK0115,TCU,radio,1,1,71
TCU_SUNNER_ID_072,38.840197,-7.000008,TK0116,TCU,radio,1,1,72
