node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,-16.594915,-71.801976,TR-03_2-001,TCU,radio,9,1
TCU_SUNNER_ID_002,-16.595593,-71.801986,TR-03_2-002,TCU,radio,9,1
TCU_SUNNER_ID_003,-16.595595,-71.80187,TR-03_2-003,TCU,radio,9,1
TCU_SUNNER_ID_004,-16.595597,-71.801753,TR-03_2-004,TCU,radio,9,1
TCU_SUNNER_ID_005,-16.595598,-71.801637,TR-03_2-005,TCU,radio,9,1
TCU_SUNNER_ID_006,-16.5956,-71.801521,TR-03_2-006,TCU,radio,9,1
TCU_SUNNER_ID_007,-16.595601,-71.801406,TR-03_2-007,TCU,radio,9,1
TCU_SUNNER_ID_008,-16.595603,-71.80129,TR-03_2-008,TCU,radio,9,1
TCU_SUNNER_ID_009,-16.596271,-71.801996,TR-03_2-009,TCU,radio,9,1
TCU_SUNNER_ID_010,-16.596273,-71.801879,TR-03_2-010,TCU,radio,9,1
TCU_SUNNER_ID_011,-16.596275,-71.801763,TR-03_2-011,TCU,radio,9,1
TCU_SUNNER_ID_012,-16.596276,-71.801647,TR-03_2-012,TCU,radio,9,1
TCU_SUNNER_ID_013,-16.596278,-71.801531,TR-03_2-013,TCU,radio,9,1
TCU_SUNNER_ID_014,-16.596279,-71.801416,TR-03_2-014,TCU,radio,9,1
TCU_SUNNER_ID_015,-16.596281,-71.8013,TR-03_2-015,TCU,radio,9,1
TCU_SUNNER_ID_016,-16.596282,-71.801184,TR-03_2-016,TCU,radio,9,1
TCU_SUNNER_ID_017,-16.596284,-71.801068,TR-03_2-017,TCU,radio,9,1
TCU_SUNNER_ID_018,-16.596286,-71.800951,TR-03_2-018,TCU,radio,9,1
TCU_SUNNER_ID_019,-16.596287,-71.800835,TR-03_2-019,TCU,radio,9,1
TCU_SUNNER_ID_020,-16.596289,-71.800719,TR-03_2-020,TCU,radio,9,1
TCU_SUNNER_ID_021,-16.59629,-71.800603,TR-03_2-021,TCU,radio,9,1
TCU_SUNNER_ID_022,-16.596292,-71.800487,TR-03_2-022,TCU,radio,9,1
TCU_SUNNER_ID_023,-16.596293,-71.800371,TR-03_2-023,TCU,radio,9,1
TCU_SUNNER_ID_024,-16.596295,-71.800255,TR-03_2-024,TCU,radio,9,1
TCU_SUNNER_ID_025,-16.596296,-71.800139,TR-03_2-025,TCU,radio,9,1
TCU_SUNNER_ID_026,-16.596298,-71.800023,TR-03_2-026,TCU,radio,9,1
TCU_SUNNER_ID_027,-16.5963,-71.799907,TR-03_2-027,TCU,radio,9,1
TCU_SUNNER_ID_028,-16.596301,-71.79979,TR-03_2-028,TCU,radio,9,1
TCU_SUNNER_ID_029,-16.59695,-71.802005,TR-03_2-029,TCU,radio,9,1
TCU_SUNNER_ID_030,-16.596951,-71.801889,TR-03_2-030,TCU,radio,9,1
TCU_SUNNER_ID_031,-16.596953,-71.801773,TR-03_2-031,TCU,radio,9,1
TCU_SUNNER_ID_032,-16.596954,-71.801657,TR-03_2-032,TCU,radio,9,1
TCU_SUNNER_ID_033,-16.596956,-71.801541,TR-03_2-033,TCU,radio,9,1
TCU_SUNNER_ID_034,-16.596957,-71.801426,TR-03_2-034,TCU,radio,9,1
TCU_SUNNER_ID_035,-16.596959,-71.80131,TR-03_2-035,TCU,radio,9,1
TCU_SUNNER_ID_036,-16.59696,-71.801194,TR-03_2-036,TCU,radio,9,1
TCU_SUNNER_ID_037,-16.596962,-71.801077,TR-03_2-037,TCU,radio,9,1
TCU_SUNNER_ID_038,-16.596964,-71.800961,TR-03_2-038,TCU,radio,9,1
TCU_SUNNER_ID_039,-16.596965,-71.800845,TR-03_2-039,TCU,radio,9,1
TCU_SUNNER_ID_040,-16.596967,-71.800729,TR-03_2-040,TCU,radio,9,1
TCU_SUNNER_ID_041,-16.596968,-71.800613,TR-03_2-041,TCU,radio,9,1
TCU_SUNNER_ID_042,-16.59697,-71.800497,TR-03_2-042,TCU,radio,9,1
TCU_SUNNER_ID_043,-16.596971,-71.800381,TR-03_2-043,TCU,radio,9,1
TCU_SUNNER_ID_044,-16.596973,-71.800265,TR-03_2-044,TCU,radio,9,1
TCU_SUNNER_ID_045,-16.596975,-71.800149,TR-03_2-045,TCU,radio,9,1
TCU_SUNNER_ID_046,-16.596976,-71.800032,TR-03_2-046,TCU,radio,9,1
TCU_SUNNER_ID_047,-16.596978,-71.799916,TR-03_2-047,TCU,radio,9,1
TCU_SUNNER_ID_048,-16.596979,-71.7998,TR-03_2-048,TCU,radio,9,1
