node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_070,-16.599115,-71.799715,TR-05_2-070,TCU,radio,8,2
TCU_SUNNER_ID_071,-16.599117,-71.799599,TR-05_2-071,TCU,radio,8,2
TCU_SUNNER_ID_072,-16.599118,-71.799483,TR-05_2-072,TCU,radio,8,2
TCU_SUNNER_ID_073,-16.599121,-71.799299,TR-05_2-073,TCU,radio,8,2
TCU_SUNNER_ID_074,-16.599122,-71.799183,TR-05_2-074,TCU,radio,8,2
TCU_SUNNER_ID_075,-16.599124,-71.799067,TR-05_2-075,TCU,radio,8,2
TCU_SUNNER_ID_076,-16.599292,-71.798953,TR-05_2-076,TCU,radio,8,2
TCU_SUNNER_ID_077,-16.599293,-71.798837,TR-05_2-077,TCU,radio,8,2
TCU_SUNNER_ID_078,-16.599129,-71.798719,TR-05_2-078,TCU,radio,8,2
TCU_SUNNER_ID_079,-16.59913,-71.798603,TR-05_2-079,TCU,radio,8,2
TCU_SUNNER_ID_080,-16.599132,-71.798487,TR-05_2-080,TCU,radio,8,2
TCU_SUNNER_ID_081,-16.599133,-71.798371,TR-05_2-081,TCU,radio,8,2
TCU_SUNNER_ID_082,-16.599135,-71.798255,TR-05_2-082,TCU,radio,8,2
TCU_SUNNER_ID_083,-16.599137,-71.798139,TR-05_2-083,TCU,radio,8,2
TCU_SUNNER_ID_084,-16.599793,-71.799725,TR-05_2-084,TCU,radio,8,2
TCU_SUNNER_ID_085,-16.599795,-71.799609,TR-05_2-085,TCU,radio,8,2
TCU_SUNNER_ID_086,-16.599796,-71.799493,TR-05_2-086,TCU,radio,8,2
TCU_SUNNER_ID_087,-16.599799,-71.799309,TR-05_2-087,TCU,radio,8,2
TCU_SUNNER_ID_088,-16.599801,-71.799193,TR-05_2-088,TCU,radio,8,2
TCU_SUNNER_ID_089,-16.599802,-71.799077,TR-05_2-089,TCU,radio,8,2
TCU_SUNNER_ID_090,-16.599804,-71.798961,TR-05_2-090,TCU,radio,8,2
TCU_SUNNER_ID_091,-16.599805,-71.798845,TR-05_2-091,TCU,radio,8,2
TCU_SUNNER_ID_092,-16.599807,-71.798729,TR-05_2-092,TCU,radio,8,2
TCU_SUNNER_ID_093,-16.599808,-71.798612,TR-05_2-093,TCU,radio,8,2
TCU_SUNNER_ID_094,-16.59981,-71.798496,TR-05_2-094,TCU,radio,8,2
TCU_SUNNER_ID_095,-16.599811,-71.798381,TR-05_2-095,TCU,radio,8,2
TCU_SUNNER_ID_096,-16.599813,-71.798265,TR-05_2-096,TCU,radio,8,2
TCU_SUNNER_ID_097,-16.599815,-71.798149,TR-05_2-097,TCU,radio,8,2
TCU_SUNNER_ID_098,-16.600477,-71.799319,TR-05_2-098,TCU,radio,8,2
TCU_SUNNER_ID_099,-16.600479,-71.799203,TR-05_2-099,TCU,radio,8,2
TCU_SUNNER_ID_100,-16.60048,-71.799087,TR-05_2-100,TCU,radio,8,2
TCU_SUNNER_ID_101,-16.600482,-71.798971,TR-05_2-101,TCU,radio,8,2
TCU_SUNNER_ID_102,-16.600483,-71.798854,TR-05_2-102,TCU,radio,8,2
TCU_SUNNER_ID_103,-16.600485,-71.798738,TR-05_2-103,TCU,radio,8,2
TCU_SUNNER_ID_104,-16.600486,-71.798622,TR-05_2-104,TCU,radio,8,2
TCU_SUNNER_ID_105,-16.600488,-71.798506,TR-05_2-105,TCU,radio,8,2
TCU_SUNNER_ID_106,-16.60049,-71.798391,TR-05_2-106,TCU,radio,8,2
TCU_SUNNER_ID_107,-16.600491,-71.798275,TR-05_2-107,TCU,radio,8,2
TCU_SUNNER_ID_108,-16.600493,-71.798159,TR-05_2-108,TCU,radio,8,2
TCU_SUNNER_ID_109,-16.601155,-71.799329,TR-05_2-109,TCU,radio,8,2
TCU_SUNNER_ID_110,-16.601157,-71.799213,TR-05_2-110,TCU,radio,8,2
TCU_SUNNER_ID_111,-16.601158,-71.799097,TR-05_2-111,TCU,radio,8,2
TCU_SUNNER_ID_112,-16.60116,-71.79898,TR-05_2-112,TCU,radio,8,2
TCU_SUNNER_ID_113,-16.601161,-71.798864,TR-05_2-113,TCU,radio,8,2
TCU_SUNNER_ID_114,-16.601163,-71.798748,TR-05_2-114,TCU,radio,8,2
TCU_SUNNER_ID_115,-16.601165,-71.798632,TR-05_2-115,TCU,radio,8,2
TCU_SUNNER_ID_116,-16.601166,-71.798516,TR-05_2-116,TCU,radio,8,2
TCU_SUNNER_ID_117,-16.601168,-71.798401,TR-05_2-117,TCU,radio,8,2
TCU_SUNNER_ID_118,-16.601169,-71.798285,TR-05_2-118,TCU,radio,8,2
TCU_SUNNER_ID_119,-16.601171,-71.798169,TR-05_2-119,TCU,radio,8,2
