node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,-16.602002,-71.80057,TR-02_1-001,TCU,radio,3,1,1
TCU_SUNNER_ID_002,-16.601837,-71.800451,TR-02_1-002,TCU,radio,3,1,2
TCU_SUNNER_ID_003,-16.601839,-71.800335,TR-02_1-003,TCU,radio,3,1,3
TCU_SUNNER_ID_004,-16.60184,-71.800219,TR-02_1-004,TCU,radio,3,1,4
TCU_SUNNER_ID_005,-16.601842,-71.800103,TR-02_1-005,TCU,radio,3,1,5
TCU_SUNNER_ID_006,-16.601843,-71.799987,TR-02_1-006,TCU,radio,3,1,6
TCU_SUNNER_ID_007,-16.601845,-71.799871,TR-02_1-007,TCU,radio,3,1,7
TCU_SUNNER_ID_008,-16.601847,-71.799755,TR-02_1-008,TCU,radio,3,1,8
TCU_SUNNER_ID_009,-16.601848,-71.799639,TR-02_1-009,TCU,radio,3,1,9
TCU_SUNNER_ID_010,-16.60185,-71.799522,TR-02_1-010,TCU,radio,3,1,10
TCU_SUNNER_ID_011,-16.601852,-71.799339,TR-02_1-011,TCU,radio,3,1,11
TCU_SUNNER_ID_012,-16.601854,-71.799223,TR-02_1-012,TCU,radio,3,1,12
TCU_SUNNER_ID_013,-16.601855,-71.799107,TR-02_1-013,TCU,radio,3,1,13
TCU_SUNNER_ID_014,-16.601857,-71.798991,TR-02_1-014,TCU,radio,3,1,14
TCU_SUNNER_ID_015,-16.601858,-71.798874,TR-02_1-015,TCU,radio,3,1,15
TCU_SUNNER_ID_016,-16.60186,-71.798758,TR-02_1-016,TCU,radio,3,1,16
TCU_SUNNER_ID_017,-16.601862,-71.798642,TR-02_1-017,TCU,radio,3,1,17
TCU_SUNNER_ID_018,-16.601863,-71.798526,TR-02_1-018,TCU,radio,3,1,18
TCU_SUNNER_ID_019,-16.601865,-71.798411,TR-02_1-019,TCU,radio,3,1,19
TCU_SUNNER_ID_020,-16.601866,-71.798295,TR-02_1-020,TCU,radio,3,1,20
TCU_SUNNER_ID_021,-16.601868,-71.798179,TR-02_1-021,TCU,radio,3,1,21
TCU_SUNNER_ID_022,-16.601869,-71.798063,TR-02_1-022,TCU,radio,3,1,22
TCU_SUNNER_ID_023,-16.601871,-71.797946,TR-02_1-023,TCU,radio,3,1,23
TCU_SUNNER_ID_024,-16.602514,-71.800577,TR-02_1-024,TCU,radio,3,1,24
TCU_SUNNER_ID_025,-16.602515,-71.800461,TR-02_1-025,TCU,radio,3,1,25
TCU_SUNNER_ID_026,-16.602517,-71.800345,TR-02_1-026,TCU,radio,3,1,26
TCU_SUNNER_ID_027,-16.602518,-71.800229,TR-02_1-027,TCU,radio,3,1,27
TCU_SUNNER_ID_028,-16.60252,-71.800113,TR-02_1-028,TCU,radio,3,1,28
TCU_SUNNER_ID_029,-16.602522,-71.799997,TR-02_1-029,TCU,radio,3,1,29
TCU_SUNNER_ID_030,-16.602523,-71.799881,TR-02_1-030,TCU,radio,3,1,30
TCU_SUNNER_ID_031,-16.602525,-71.799764,TR-02_1-031,TCU,radio,3,1,31
TCU_SUNNER_ID_032,-16.602526,-71.799648,TR-02_1-032,TCU,radio,3,1,32
TCU_SUNNER_ID_033,-16.602528,-71.799532,TR-02_1-033,TCU,radio,3,1,33
TCU_SUNNER_ID_034,-16.60253,-71.799349,TR-02_1-034,TCU,radio,3,1,34
TCU_SUNNER_ID_035,-16.602532,-71.799233,TR-02_1-035,TCU,radio,3,1,35
TCU_SUNNER_ID_036,-16.602533,-71.799116,TR-02_1-036,TCU,radio,3,1,36
TCU_SUNNER_ID_037,-16.602535,-71.799001,TR-02_1-037,TCU,radio,3,1,37
TCU_SUNNER_ID_038,-16.602537,-71.798885,TR-02_1-038,TCU,radio,3,1,38
TCU_SUNNER_ID_039,-16.602538,-71.798769,TR-02_1-039,TCU,radio,3,1,39
TCU_SUNNER_ID_040,-16.60254,-71.798653,TR-02_1-040,TCU,radio,3,1,40
TCU_SUNNER_ID_041,-16.602541,-71.798537,TR-02_1-041,TCU,radio,3,1,41
TCU_SUNNER_ID_042,-16.602543,-71.798421,TR-02_1-042,TCU,radio,3,1,42
TCU_SUNNER_ID_043,-16.602544,-71.798305,TR-02_1-043,TCU,radio,3,1,43
TCU_SUNNER_ID_044,-16.602546,-71.798189,TR-02_1-044,TCU,radio,3,1,44
TCU_SUNNER_ID_045,-16.602547,-71.798072,TR-02_1-045,TCU,radio,3,1,45
TCU_SUNNER_ID_046,-16.602549,-71.797956,TR-02_1-046,TCU,radio,3,1,46
