node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_001,-16.585828,-71.81299,TR-09_1-001,TCU,17,1
TCU_SUNNER_ID_002,-16.585829,-71.812874,TR-09_1-002,TCU,17,1
TCU_SUNNER_ID_003,-16.585831,-71.812758,TR-09_1-003,TCU,17,1
TCU_SUNNER_ID_004,-16.585833,-71.812642,TR-09_1-004,TCU,17,1
TCU_SUNNER_ID_005,-16.585834,-71.812526,TR-09_1-005,TCU,17,1
TCU_SUNNER_ID_006,-16.585836,-71.81241,TR-09_1-006,TCU,17,1
TCU_SUNNER_ID_007,-16.585837,-71.812294,TR-09_1-007,TCU,17,1
TCU_SUNNER_ID_008,-16.585839,-71.812178,TR-09_1-008,TCU,17,1
TCU_SUNNER_ID_009,-16.58584,-71.812061,TR-09_1-009,TCU,17,1
TCU_SUNNER_ID_010,-16.585842,-71.811945,TR-09_1-010,TCU,17,1
TCU_SUNNER_ID_011,-16.58601,-71.811832,TR-09_1-011,TCU,17,1
TCU_SUNNER_ID_012,-16.586011,-71.811716,TR-09_1-012,TCU,17,1
TCU_SUNNER_ID_013,-16.586013,-71.8116,TR-09_1-013,TCU,17,1
TCU_SUNNER_ID_014,-16.586014,-71.811484,TR-09_1-014,TCU,17,1
TCU_SUNNER_ID_015,-16.586609,-71.813132,TR-09_1-015,TCU,17,1
TCU_SUNNER_ID_016,-16.586611,-71.813016,TR-09_1-016,TCU,17,1
TCU_SUNNER_ID_017,-16.586612,-71.8129,TR-09_1-017,TCU,17,1
TCU_SUNNER_ID_018,-16.586614,-71.812783,TR-09_1-018,TCU,17,1
TCU_SUNNER_ID_019,-16.586615,-71.812667,TR-09_1-019,TCU,17,1
TCU_SUNNER_ID_020,-16.586617,-71.812551,TR-09_1-020,TCU,17,1
TCU_SUNNER_ID_021,-16.586618,-71.812435,TR-09_1-021,TCU,17,1
TCU_SUNNER_ID_022,-16.58662,-71.812319,TR-09_1-022,TCU,17,1
TCU_SUNNER_ID_023,-16.586622,-71.812203,TR-09_1-023,TCU,17,1
TCU_SUNNER_ID_024,-16.586623,-71.812087,TR-09_1-024,TCU,17,1
TCU_SUNNER_ID_025,-16.586625,-71.811971,TR-09_1-025,TCU,17,1
TCU_SUNNER_ID_026,-16.586626,-71.811855,TR-09_1-026,TCU,17,1
TCU_SUNNER_ID_027,-16.586628,-71.811739,TR-09_1-027,TCU,17,1
TCU_SUNNER_ID_028,-16.586796,-71.811626,TR-09_1-028,TCU,17,1
TCU_SUNNER_ID_029,-16.586797,-71.81151,TR-09_1-029,TCU,17,2
TCU_SUNNER_ID_030,-16.586633,-71.811391,TR-09_1-030,TCU,17,2
TCU_SUNNER_ID_031,-16.586634,-71.811275,TR-09_1-031,TCU,17,2
TCU_SUNNER_ID_032,-16.586636,-71.811159,TR-09_1-032,TCU,17,2
TCU_SUNNER_ID_033,-16.586637,-71.811043,TR-09_1-033,TCU,17,2
TCU_SUNNER_ID_034,-16.586639,-71.810927,TR-09_1-034,TCU,17,2
TCU_SUNNER_ID_035,-16.58664,-71.810811,TR-09_1-035,TCU,17,2
TCU_SUNNER_ID_036,-16.586642,-71.810695,TR-09_1-036,TCU,17,2
TCU_SUNNER_ID_037,-16.586643,-71.810578,TR-09_1-037,TCU,17,2
TCU_SUNNER_ID_038,-16.586645,-71.810462,TR-09_1-038,TCU,17,2
TCU_SUNNER_ID_039,-16.586647,-71.810346,TR-09_1-039,TCU,17,2
TCU_SUNNER_ID_040,-16.586648,-71.81023,TR-09_1-040,TCU,17,2
TCU_SUNNER_ID_041,-16.58665,-71.810114,TR-09_1-041,TCU,17,2
TCU_SUNNER_ID_042,-16.587287,-71.813142,TR-09_1-042,TCU,17,1
TCU_SUNNER_ID_043,-16.587289,-71.813026,TR-09_1-043,TCU,17,1
TCU_SUNNER_ID_044,-16.58729,-71.812909,TR-09_1-044,TCU,17,1
TCU_SUNNER_ID_045,-16.587292,-71.812793,TR-09_1-045,TCU,17,1
TCU_SUNNER_ID_046,-16.587293,-71.812677,TR-09_1-046,TCU,17,1
TCU_SUNNER_ID_047,-16.587295,-71.812561,TR-09_1-047,TCU,17,1
TCU_SUNNER_ID_048,-16.587296,-71.812445,TR-09_1-048,TCU,17,1
TCU_SUNNER_ID_049,-16.587298,-71.812329,TR-09_1-049,TCU,17,1
TCU_SUNNER_ID_050,-16.5873,-71.812213,TR-09_1-050,TCU,17,1
TCU_SUNNER_ID_051,-16.587301,-71.812097,TR-09_1-051,TCU,17,1
TCU_SUNNER_ID_052,-16.587303,-71.811981,TR-09_1-052,TCU,17,1
TCU_SUNNER_ID_053,-16.587304,-71.811864,TR-09_1-053,TCU,17,1
TCU_SUNNER_ID_054,-16.587306,-71.811748,TR-09_1-054,TCU,17,1
TCU_SUNNER_ID_055,-16.587307,-71.811633,TR-09_1-055,TCU,17,1
TCU_SUNNER_ID_056,-16.587309,-71.811517,TR-09_1-056,TCU,17,2
TCU_SUNNER_ID_057,-16.587311,-71.811401,TR-09_1-057,TCU,17,2
TCU_SUNNER_ID_058,-16.587312,-71.811285,TR-09_1-058,TCU,17,2
TCU_SUNNER_ID_059,-16.587314,-71.811169,TR-09_1-059,TCU,17,2
TCU_SUNNER_ID_060,-16.587315,-71.811053,TR-09_1-060,TCU,17,2
TCU_SUNNER_ID_061,-16.587317,-71.810937,TR-09_1-061,TCU,17,2
TCU_SUNNER_ID_062,-16.587318,-71.810821,TR-09_1-062,TCU,17,2
TCU_SUNNER_ID_063,-16.58732,-71.810704,TR-09_1-063,TCU,17,2
TCU_SUNNER_ID_064,-16.587322,-71.810588,TR-09_1-064,TCU,17,2
TCU_SUNNER_ID_065,-16.587323,-71.810472,TR-09_1-065,TCU,17,2
TCU_SUNNER_ID_066,-16.587325,-71.810356,TR-09_1-066,TCU,17,2
TCU_SUNNER_ID_067,-16.587326,-71.81024,TR-09_1-067,TCU,17,2
TCU_SUNNER_ID_068,-16.587328,-71.810124,TR-09_1-068,TCU,17,2
TCU_SUNNER_ID_069,-16.587965,-71.813151,TR-09_1-069,TCU,17,1
TCU_SUNNER_ID_070,-16.587967,-71.813035,TR-09_1-070,TCU,17,1
TCU_SUNNER_ID_071,-16.587968,-71.812919,TR-09_1-071,TCU,17,1
TCU_SUNNER_ID_072,-16.58797,-71.812803,TR-09_1-072,TCU,17,1
TCU_SUNNER_ID_073,-16.587971,-71.812687,TR-09_1-073,TCU,17,1
TCU_SUNNER_ID_074,-16.587973,-71.812571,TR-09_1-074,TCU,17,1
TCU_SUNNER_ID_075,-16.587975,-71.812455,TR-09_1-075,TCU,17,1
TCU_SUNNER_ID_076,-16.587976,-71.812339,TR-09_1-076,TCU,17,1
TCU_SUNNER_ID_077,-16.587978,-71.812223,TR-09_1-077,TCU,17,1
TCU_SUNNER_ID_078,-16.587979,-71.812107,TR-09_1-078,TCU,17,1
TCU_SUNNER_ID_079,-16.587981,-71.81199,TR-09_1-079,TCU,17,1
TCU_SUNNER_ID_080,-16.587982,-71.811874,TR-09_1-080,TCU,17,1
TCU_SUNNER_ID_081,-16.587984,-71.811758,TR-09_1-081,TCU,17,1
TCU_SUNNER_ID_082,-16.587986,-71.811643,TR-09_1-082,TCU,17,1
TCU_SUNNER_ID_083,-16.587987,-71.811527,TR-09_1-083,TCU,17,2
TCU_SUNNER_ID_084,-16.587989,-71.811411,TR-09_1-084,TCU,17,2
TCU_SUNNER_ID_085,-16.58799,-71.811295,TR-09_1-085,TCU,17,2
TCU_SUNNER_ID_086,-16.587992,-71.811179,TR-09_1-086,TCU,17,2
TCU_SUNNER_ID_087,-16.587993,-71.811063,TR-09_1-087,TCU,17,2
TCU_SUNNER_ID_088,-16.587995,-71.810946,TR-09_1-088,TCU,17,2
TCU_SUNNER_ID_089,-16.587997,-71.81083,TR-09_1-089,TCU,17,2
TCU_SUNNER_ID_090,-16.587998,-71.810714,TR-09_1-090,TCU,17,2
TCU_SUNNER_ID_091,-16.588,-71.810598,TR-09_1-091,TCU,17,2
TCU_SUNNER_ID_092,-16.588001,-71.810482,TR-09_1-092,TCU,17,2
TCU_SUNNER_ID_093,-16.588003,-71.810366,TR-09_1-093,TCU,17,2
TCU_SUNNER_ID_094,-16.588004,-71.81025,TR-09_1-094,TCU,17,2
TCU_SUNNER_ID_095,-16.588006,-71.810134,TR-09_1-095,TCU,17,2
TCU_SUNNER_ID_096,-16.588643,-71.813161,TR-09_1-096,TCU,17,1
TCU_SUNNER_ID_097,-16.588645,-71.813045,TR-09_1-097,TCU,17,1
TCU_SUNNER_ID_098,-16.588646,-71.812929,TR-09_1-098,TCU,17,1
TCU_SUNNER_ID_099,-16.588648,-71.812813,TR-09_1-099,TCU,17,1
TCU_SUNNER_ID_100,-16.588649,-71.812697,TR-09_1-100,TCU,17,1
TCU_SUNNER_ID_101,-16.588651,-71.812581,TR-09_1-101,TCU,17,1
TCU_SUNNER_ID_102,-16.588653,-71.812465,TR-09_1-102,TCU,17,1
TCU_SUNNER_ID_103,-16.588654,-71.812349,TR-09_1-103,TCU,17,1
TCU_SUNNER_ID_104,-16.588656,-71.812233,TR-09_1-104,TCU,17,1
TCU_SUNNER_ID_105,-16.588657,-71.812116,TR-09_1-105,TCU,17,1
TCU_SUNNER_ID_106,-16.588659,-71.812,TR-09_1-106,TCU,17,1
TCU_SUNNER_ID_107,-16.58866,-71.811884,TR-09_1-107,TCU,17,1
